Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL56438,,0,424.37,0,3.82,69,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2cc(Cl)ccc2Cl)CC1,Ki,'=',9.9,nM,8,,,UO_0000065,18.86,0.39,4.18,18.25,FALSE,CHEMBL649207,Binding affinity constant against alpha-1B adrenergic receptor of guinea pig spleen,B,BAO_0000221,tissue-based format,Cavia porcellus,CHEMBL3559722,Spleen,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149137,1,Scientific Literature,J. Med. Chem.,2004,None,
CHEMBL56438,,0,424.37,0,3.82,69,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2cc(Cl)ccc2Cl)CC1,pKB,'=',5.55,,,,,,,,,,FALSE,CHEMBL649209,Dissociation constant against guinea pig spleen alpha-1B adrenergic receptor in vitro was determined,B,BAO_0000357,single protein format,Cavia porcellus,CHEMBL3559722,Spleen,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149137,1,Scientific Literature,J. Med. Chem.,2004,None,
CHEMBL58612,,0,425.53,0,2.69,57,COc1cc(N)c(C(=O)NCCN2C[C@@H]3CCc4c(OC)cccc4[C@@H]3C2)cc1OC,Ki,'=',29.1,nM,7.54,,,UO_0000065,17.71,0.33,4.85,8.76,FALSE,CHEMBL649215,Binding affinity to hamster alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,Cricetulus griseus,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134501,1,Scientific Literature,J. Med. Chem.,2001,None,
CHEMBL3354065,,0,328.5,0,4.26,1; 77-LH-28-1,CCCCC1CCN(CCCN2C(=O)CCc3ccccc32)CC1,Ki,'=',776.25,nM,6.11,,,UO_0000065,18.6,0.35,1.85,25.94,FALSE,CHEMBL4048895,Displacement of [3H]prazosin from human recombinant alpha-1B adrenergic receptor expressed in CHO cell membranes after 30 mins by liquid scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4043296,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL13647,BMY-7378,0,385.51,0,2.53,BMY-7378,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,Ki,'=',707.95,nM,6.15,,,UO_0000065,15.95,0.3,3.62,11.58,TRUE,CHEMBL2318735,Displacement of [3H]prazosin from human recombinant alpha1B adrenergic receptor expressed in CHO cell membranes after 30 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2311529,1,Scientific Literature,J. Med. Chem.,2013,CHEMBL3308072,
CHEMBL369154,,0,449.51,0,2.15,34,COC(=O)c1ccc2c(=O)n(CCN3C[C@@H]4CCc5c(OC)cccc5[C@@H]4C3)c(=O)[nH]c2c1,Ki,'=',1.64,nM,8.79,,,UO_0000065,19.54,0.36,6.64,9.38,FALSE,CHEMBL649215,Binding affinity to hamster alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,Cricetulus griseus,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134501,1,Scientific Literature,J. Med. Chem.,2001,None,
CHEMBL420683,,0,253.31,0,2.13,2,c1ccc(-c2ccccc2OCC2=NCCN2)nc1,EC50,'<',100000,nM,,,,UO_0000065,,,,,TRUE,CHEMBL641228,Activation of human alpha-1B adrenergic receptors expressed in rat-1 fibroblasts,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134991,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002,None,
CHEMBL392354,,0,529.58,0,4.24,38i,O=C(c1ccc(F)cc1F)N1CCN(c2ccc(OC3CCN(C4CCCC4)CC3)cc2)C(=O)C1.O=CO,Log Ki,,,,,,Not Determined,,,,,,FALSE,CHEMBL903095,Antagonist activity at human recombinant adrenergic alpha 1B receptor expressed in Rat1 cells assessed as inhibition of phenylephrine-induced cellular calcium mobilization,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Rat1,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1138361,1,Scientific Literature,J. Med. Chem.,2007,CHEMBL3307665,
CHEMBL1643900,,0,283.39,0,3.1,11,Fc1cccc(CCN[C@H]2C3C4CC5C6C4CC3C6C52)c1,Inhibition,'<',50,%,,,,UO_0000187,,,,,TRUE,CHEMBL1646410,Inhibition of Alpha-1B adrenergic receptor at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1641373,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,None,
CHEMBL333784,,0,405.39,0,4.27,11,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1,Ki,'=',1995.26,nM,5.7,,,UO_0000065,14.06,0.31,1.43,14.03,FALSE,CHEMBL646253,Binding affinity towards Alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133573,1,Scientific Literature,J. Med. Chem.,2000,None,
CHEMBL298808,,0,383.54,0,3.13,62,Cc1ccc(N2CCN(CCN3C(=O)CC4(CCCC4)CC3=O)CC2)c(C)c1,Ki,,,,,,Not Determined,,,,,,FALSE,CHEMBL649208,Binding affinity constant against alpha-1B adrenergic receptor of guinea pig spleen.,B,BAO_0000221,tissue-based format,Cavia porcellus,CHEMBL3559722,Spleen,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149137,1,Scientific Literature,J. Med. Chem.,2004,None,
CHEMBL138109,,0,336.44,0,3.84,3b,COc1cccc2c(CCCNCCOc3ccccn3)cccc12,Ki,'=',270,nM,6.57,,,UO_0000065,19.52,0.36,2.73,15.14,FALSE,CHEMBL649152,Binding affinity was determined on human cloned alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134307,1,Scientific Literature,J. Med. Chem.,2001,None,
CHEMBL2205824,,0,295.38,0,1.96,16,COc1cccc(CN2C3C4C5CC6C7C5C3C7C2(O)C64)c1,Inhibition,'<',50,%,,,,UO_0000187,,,,,FALSE,CHEMBL2215105,Binding affinity to alpha1B adrenergic receptor at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2203059,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012,None,
CHEMBL53675,,0,458.46,0,2.39,14,CCc1c[nH]c(=O)n(CCCN2CCN(c3ccc(F)cc3OCC(F)(F)F)CC2)c1=O,Ki,'=',79.43,nM,7.1,,,UO_0000065,15.49,0.3,4.71,10.06,FALSE,CHEMBL645574,Inhibition of [3H]prazosin binding to CHO-K1 whole cells expressing human cloned Alpha-1B adrenergic receptor,B,BAO_0000219,cell-based format,None,None,None,CHO-K1,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136516,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2003,CHEMBL3307512,
CHEMBL145562,,0,578.63,1,2.73,26,COC(=O)C1(c2ccccc2)CCN(CCCNC(=O)N2C(=O)NC(C)=C(C(N)=O)C2c2ccc([N+](=O)[O-])cc2)CC1,Ki,'=',100,nM,7,,,UO_0000065,12.1,0.23,4.27,3.95,FALSE,CHEMBL651989,In vitro binding affinity against Alpha-1B adrenergic receptor of human liver microsomes.,B,BAO_0000221,tissue-based format,None,CHEMBL3559723,Liver,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132476,1,Scientific Literature,J. Med. Chem.,1999,None,
CHEMBL13735,,0,386.48,0,1.58,2d,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3sccc3c2=O)CC1,Ki,'=',1.22,nM,8.91,,,UO_0000065,23.06,0.45,7.33,12.63,FALSE,CHEMBL648996,Binding affinity towards human Alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134245,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2001,None,
CHEMBL2419765,,0,354.41,0,2.98,(S)-7,COc1ccc2cc[nH]c2c1OCCNC[C@H]1COc2ccccc2O1,Ki,'=',489.78,nM,6.31,,,UO_0000065,17.8,0.33,3.33,9.75,FALSE,CHEMBL2422547,Displacement of [3H]prazosin from human alpha-1B adrenoreceptor expressed in CHO cells after 30 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2417545,1,Scientific Literature,J. Med. Chem.,2013,CHEMBL3308072,
CHEMBL257098,,0,471.05,1,5.38,cis-7,CC(C)Oc1ccccc1N1CCN(C2CCC(NC(=O)Nc3ccccc3Cl)CC2)CC1,Ki,'=',373,nM,6.43,,,UO_0000065,13.65,0.27,1.05,11.31,FALSE,CHEMBL947044,Displacement of [125I]HEAT from human recombinant adrenergic Alpha-1B receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1143857,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,None,
CHEMBL611,TERAZOSIN,4,387.44,0,1.06,Terazosin,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,Ki,'=',1.95,nM,8.71,,,UO_0000065,22.48,0.42,7.65,8.45,TRUE,CHEMBL645573,Binding affinity determined by displacement of [3H]prazosin from alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131023,1,Scientific Literature,J. Med. Chem.,1998,None,
CHEMBL2051956,DEXNIGULDIPINE,0,609.72,2,6.02,R-(-)-1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@@H]1c1cccc([N+](=O)[O-])c1,Ki,'=',56,nM,7.25,,,UO_0000065,11.89,0.22,1.23,6.53,TRUE,CHEMBL648109,Ability to displace [3H]prazosin from cloned human Alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1128349,1,Scientific Literature,J. Med. Chem.,1995,None,
CHEMBL71479,,0,267.35,0,0.81,28,Cc1ccc(S(C)(=O)=O)c(NCC2=NCCN2)c1,Max,'=',91,%,,,,UO_0000187,,,,,FALSE,CHEMBL652788,Efficacy as % of the maximal effect observed for nonselective agonist phenylephrine in rat-1 fibroblasts expressing human Alpha-1B adrenergic receptor,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135421,1,Scientific Literature,J. Med. Chem.,2002,None,
CHEMBL432302,,0,466.63,0,4.89,13,Cc1ccc(C(C(=O)NCCCN2CCC(C#N)(c3ccccn3)CC2)c2ccc(C)cc2)cc1,Ki,'>',2000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL649157,Inhibition of binding of [125I]HEAT to cloned human alpha-1B adrenergic receptor.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133241,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2000,None,
CHEMBL41994,,0,453.58,1,5.08,28,Cc1ccccc1C1(C#N)CCN(CCCNC(=O)C(c2ccc(F)c(F)c2)C(C)C)CC1,Ki,'=',900,nM,6.05,,,UO_0000065,13.33,0.25,0.97,10.77,FALSE,CHEMBL649157,Inhibition of binding of [125I]HEAT to cloned human alpha-1B adrenergic receptor.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133241,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2000,None,
CHEMBL279136,,0,242.28,0,2.33,16,c1coc(-c2ccccc2OCC2=NCCN2)c1,EC50,'=',10,nM,8,,,UO_0000065,,,,,FALSE,CHEMBL651230,Activation of recombinant human adrenergic,,,,,,,,,,,,,,,,,,,,,,
CHEMBL267336,,0,571.59,1,4.64,GG-818,COc1ccc(CCN2CCC(c3nc(COCC(F)(F)F)c(-c4ccc(F)cc4)o3)CC2)cc1S(N)(=O)=O,Ki,'=',15.85,nM,7.8,,,UO_0000065,13.65,0.27,3.16,7.23,FALSE,CHEMBL645567,Binding affinity was tested on human Alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1129998,1,Scientific Literature,J. Med. Chem.,1997,None,
CHEMBL424658,,0,449.51,0,2.54,11,COc1cc2nc(N3CCN(C(=O)CCC(=O)c4ccccc4)CC3)nc(N)c2cc1OC,Ki,'=',4.43,nM,8.35,,,UO_0000065,18.58,0.35,5.81,7.53,FALSE,CHEMBL646250,The binding affinity towards Alpha-1B adrenergic receptor in the COS cell line.,B,BAO_0000219,cell-based format,None,None,None,COS,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132568,1,Scientific Literature,J. Med. Chem.,1999,None,
CHEMBL71479,,0,267.35,0,0.81,28,Cc1ccc(S(C)(=O)=O)c(NCC2=NCCN2)c1,Ki,'=',3467.37,nM,5.46,,,UO_0000065,20.42,0.41,4.65,7.74,FALSE,CHEMBL647201,Affinity to human Alpha-1B adrenergic receptor determined by radioligand binding techniques from rat-1 fibroblasts membranes,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135421,1,Scientific Literature,J. Med. Chem.,2002,None,
CHEMBL466046,,0,209.25,0,2.09,2,N#Cc1ccccc1[C@@H]1Cc2nccn2C1,EC50,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL970449,Agonist activity at human adrenergic Alpha-1B receptor expressed in CHO cells assessed as calcium mobilization by FLIPR,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136911,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009,CHEMBL3308072,
CHEMBL17491,,0,242.29,0,0.89,9a,c1ccc(-c2nc[nH]n2)c(NCC2=NCCN2)c1,Max response,'=',100,%,,,,UO_0000187,,,,,FALSE,CHEMBL652786,Maximal response assayed via calcium mobilization to human alpha-1B adrenergic receptor compared to percent of the 40 mM phenylephrine response.,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145766,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2003,None,
CHEMBL441412,,0,268.36,0,2.41,9w,Cc1ccc(-c2ccccc2NCC2=NCCN2)n1C,EC50,'<',100000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL651233,Agonism of human alpha-1B adrenergic receptor,,,,,,,,,,,,,,,,,,,,,,
CHEMBL351542,,0,232.29,0,1.08,26,CO/N=C/c1ccccc1NCC1=NCCN1,EC50,'<',5011.87,nM,,,,UO_0000065,,,,,FALSE,CHEMBL875931,In vitro activation of human Alpha-1B receptor expressed in rat-1 fibroblasts via calcium mobilization through the Gq coupled PLC pathway as functional assay,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135065,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002,None,
CHEMBL70326,,0,271.32,0,0.64,17,CS(=O)(=O)c1cc(F)ccc1NCC1=NCCN1,Max,,,,,,Not Determined,,,,,,FALSE,CHEMBL822109,Efficacy as percent maximal effect for nonselective agonist phenylephrine in rat-1 fibroblasts expressing human alpha1b; ND is No Data,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135421,1,Scientific Literature,J. Med. Chem.,2002,None,
CHEMBL228278,,0,514.69,1,4.71,trans-14,COc1ccc(S(=O)(=O)N[C@H]2CC[C@H](N3CCC(c4ccccc4OC4CC4)CC3)CC2)cc1OC,Ki,'=',133,nM,6.88,,,UO_0000065,13.36,0.26,2.17,8.92,FALSE,CHEMBL900498,Binding affinity to human cloned adrenergic alpha-1b receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1137555,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL272340,,0,466.63,0,4.74,trans-8,COc1ccccc1NC(=O)NC1CCC(N2CCN(c3ccccc3OC(C)C)CC2)CC1,Ki,'=',107,nM,6.97,,,UO_0000065,14.94,0.28,2.23,10.55,FALSE,CHEMBL947044,Displacement of [125I]HEAT from human recombinant adrenergic Alpha-1B receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1143857,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,None,
CHEMBL278865,UPIDOSIN,0,511.62,1,4.72,Rec-15/2739,COc1ccccc1N1CCN(CCCNC(=O)c2cccc3c(=O)c(C)c(-c4ccccc4)oc23)CC1,Ki,'=',31.62,nM,7.5,,,UO_0000065,14.66,0.27,2.78,10,FALSE,CHEMBL645567,Binding affinity was tested on human Alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1129998,1,Scientific Literature,J. Med. Chem.,1997,None,
CHEMBL91956,,0,594.71,2,6.04,24,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)NCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1,Ki,'=',77.62,nM,7.11,,,UO_0000065,11.96,0.22,1.07,6.06,FALSE,CHEMBL645573,Binding affinity determined by displacement of [3H]prazosin from alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131023,1,Scientific Literature,J. Med. Chem.,1998,None,
CHEMBL276733,,0,269.35,0,1.98,9t,CCn1cc(-c2ccccc2NCC2=NCCN2)cn1,Max response,'=',0,%,,,,UO_0000187,,,,,FALSE,CHEMBL652786,Maximal response assayed via calcium mobilization to human alpha-1B adrenergic receptor compared to percent of the 40 mM phenylephrine response.,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145766,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2003,None,
