Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
WKXSXFYQPCWZOS-UHFFFAOYNA-N,CHEMBL25467,147,A,7.64,chembl20,34343,9606,ADRA1B,93,C1=2C3=C(C=CC(=C3CCN(C1)C)Cl)SC2C=C
ZSGKNYMIUPYVHF-UHFFFAOYNA-N,CHEMBL117381,147,A,6.64,chembl20,34482,9606,ADRA1B,93,C=1(C=2C(N=CC3NCCN3)=CC=CC2)OC=NC1
ZWCQZHOWEDKJBN-UHFFFAOYNA-N,73355417,147,A,5.20789,pubchem,772797,9606,ADRA1B,93,N(C1C2C3C4C2CC5C4CC3C51)CC6=CC=CC=C6
ARAAJVDIMDUTEE-UHFFFAOYNA-N,CHEMBL156661,147,A,5.66,chembl20,34482,9606,ADRA1B,93,C1(C2=NC=CC=N2)=C(N=CC3NCCN3)C=CC=C1
ACSBGDZVADIZKW-NDKGDYFDNA-N,CHEMBL95523,147,A,6.16,chembl20,34483,9606,ADRA1B,93,C=1(C(=O)NC)C(N=CC2NCCN2)=CC=CC1
ANTKBACNWQHQJE-UHFFFAOYNA-N,CHEMBL1242950,147,A,7.19,chembl20,659613,9606,ADRA1B,93,C1(CCCC)CCN(CCCC(C=2C(=CC=CC2)C)=O)CC1
AVIIXPNNIXZFSU-UHFFFAOYNA-N,CHEMBL421011,147,A,5.23,chembl20,34483,9606,ADRA1B,93,C(C=1C(N=CC2NCCN2)=CC=CC1)(N(CC)CC)=O
GIUPBDIZLWTOFQ-HCKMINDGNA-N,CHEMBL318544,147,A,5.77,chembl20,32514,9606,ADRA1B,93,C=1(C(=O)NCCC)C(N=CC2NCCN2)=CC=CC1
FTTRPMVAKQJXGZ-HCKMINDGNA-N,CHEMBL277375,147,A,6.8,chembl20,34484,9606,ADRA1B,93,C1(C2=C(N=CC3NCCN3)C=CC=C2)=NNC=C1
DGESRLVPERSCQG-UHFFFAOYNA-N,12134995,147,A,5.97347,pubchem,37201,9606,ADRA1B,93,S1C(CN2CCN(CC2)C=3C(OC)=CC=CC3)=CC=C1CO
HSWPZIDYAHLZDD-WYUMXYHSNA-N,CHEMBL353972,147,A,5.71,chembl20,664774,9606,ADRA1B,93,N1C(C2(CC3=C(C2)C=CC=C3)CC)=CN=C1
HVSRNYNPOUFDNJ-UHFFFAOYNA-N,CHEMBL1085672,147,A,6.5,chembl20,614258,9606,ADRA1B,93,C1N(C=2C=CC=C(C2)Cl)C(=O)N(CC3CCCCN3)C1
IGPCTLTXCPFDIO-UHFFFAOYNA-N,1376848,147,A,6.1209,pubchem,37201,9606,ADRA1B,93,BrC=1SC(CN2CCN(CC2)C=3C(OC)=CC=CC3)=CC1
IPPNTNSKOLFICB-UHFFFAOYNA-N,45265813,24173,A,5.95078,pubchem,269273,10116,ADRA1B,93,N1(CCC(CC1)CC2=CC=CC=C2)CCCN3CCCCC3
KYBHYIVVPLXIER-UHFFFAOYNA-N,CHEMBL450018,147,N,4.98,chembl20,34483,9606,ADRA1B,93,C(C=1C(N=CC2NCCN2)=CC=CC1)(N(CC)C)=O
KXSUAWAUCNFBQJ-HCKMINDGNA-N,213041,147,A,5.68,pubchem,516906,9606,ADRA1B,93,FC1=CC=2CC(CC2C=C1)(CC)C=3NC=NC3
KXSUAWAUCNFBQJ-WYUMXYHSNA-N,CHEMBL1255582,147,A,5.68,chembl20,664774,9606,ADRA1B,93,C=1(C=C2CC(CC2=CC1)(CC)C3=CNC=N3)F
KWODGCVBVOFCQI-GPQMBLKYNA-N,CHEMBL97044,147,A,5.65,chembl20,34483,9606,ADRA1B,93,C(C=1C(N=CC2NCCN2)=CC=CC1)(NC3CC3)=O
MFIWAYWFFNAONS-UHFFFAOYNA-N,CHEMBL154298,147,A,6.23,chembl20,34482,9606,ADRA1B,93,C1(NCCN1)C=NC2=C(C3=NC=CC=C3)C=CC=C2
MEOJSKPNJDUFRP-ISQRTWGSNA-N,CHEMBL351542,147,A,6.79,chembl20,34482,9606,ADRA1B,93,C1(NCCN1)C=NC2=C(/C=N/OC)C=CC=C2
MBYSTKNEMJZSIK-UHFFFAOYNA-N,122295,147,A,7.06048,pubchem,37213,9606,ADRA1B,93,ClC1=C2CCN(CCC2=C(OCC=C(C)C)C=C1)C
NUPUIWXKKRJKFL-UHFFFAOYNA-N,CHEMBL17851,147,A,6.4,chembl20,34484,9606,ADRA1B,93,C=1(N(N=CC1)C)C2=C(N=CC3NCCN3)C=CC=C2
NOCWBSIDJYRURZ-UHFFFAOYNA-N,44574134,147,A,6.00436,pubchem,352017,9606,ADRA1B,93,FC=1C=C(C2CN3C(=NC=C3)C2)C(=CC1)C=4OC=CN4
ODQWQRRAPPTVAG-UHFFFAOYNA-N,CHEMBL1628227,24173,A,7.48,chembl20,774697,10116,ADRA1B,93,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C13
MKCFTZDMTGUFFC-HCKMINDGNA-N,CHEMBL116700,147,A,5.23,chembl20,32514,9606,ADRA1B,93,N1C=NC(=C1)COC2=C(C3=CC=CC=C3)C=CC=C2
NDUOFWVCVQIIDR-UHFFFAOYNA-N,CHEMBL319553,147,A,5.75,chembl20,34483,9606,ADRA1B,93,C(C=1C(N=CC2NCCN2)=CC=CC1)(OC(C)C)=O
PHVGLTMQBUFIQQ-UHFFFAOYNA-N,CHEMBL445,24173,A,6.94,chembl20,774697,10116,ADRA1B,93,C1(C2=C(CCC3=C1C=CC=C3)C=CC=C2)=CCCNC
QLXHLSBDLHEIEV-WYUMXYHSNA-N,CHEMBL357129,147,A,6.57,chembl20,34481,9606,ADRA1B,93,C=1(C2=C(OCC=3NCCN3)C=CC=C2)NC=CC1
QSLMDECMDJKHMQ-UHFFFAOYNA-N,CHEMBL21731,24173,A,7.05,chembl20,774697,10116,ADRA1B,93,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C42
UEQUQVLFIPOEMF-UHFFFAOYNA-N,CHEMBL6437,24173,A,7.18,chembl20,774697,10116,ADRA1B,93,N12C(C=3C(=CC=CC3)CC4=C1C=CC=C4)CN(CC2)C
UCEHPYLCAJEKMR-UHFFFAOYNA-N,CHEMBL154023,147,A,6.49,chembl20,34482,9606,ADRA1B,93,C1(C2=C(N=CC3NCCN3)C=CC=C2)=C(N=CO1)C
VARULOWOKPYQRB-HCKMINDGNA-N,CHEMBL356605,147,A,5.89,chembl20,34481,9606,ADRA1B,93,C=1(NCCN1)COC=2C(C3=CN=CC=C3)=CC=CC2
UVKZSORBKUEBAZ-UHFFFAOYNA-N,CHEMBL648,24173,A,5.86,chembl20,774697,10116,ADRA1B,93,N1(C(C2=CC=CC=C2)C3=CC=CC=C3)CCN(CC1)C
YBZJNASHMOQSEV-WYUMXYHSNA-N,CHEMBL323402,24173,A,6.01,chembl20,911062,10116,ADRA1B,93,C1=2C(C=3NC=NC3)CCCC1=C(N)C=CC2
BPRZPBVOIULUSI-HCKMINDGNA-N,CHEMBL13789,147,A,6.13,chembl20,34481,9606,ADRA1B,93,C=1(NCCN1)COC2=C(C3=CC=CC=C3)C=CC=C2
CSYQAZGMLGSKCF-UHFFFAOYNA-N,45263433,24173,A,8.52288,pubchem,269273,10116,ADRA1B,93,N1(CCC(CC1)C=2C=3C(NC2)=CC=CC3)CCCN4CCCCC4
DVSMVUMYJDOPJQ-UHFFFAOYNA-N,CHEMBL3104091,147,A,5.5,chembl20,1283839,9606,ADRA1B,93,C1CC2=C(N3C=4C1=CC=CC4C5=C3CCN(C5)C)C=CC=C2
FVHLKYRSFYIRKU-HCKMINDGNA-N,CHEMBL420683,147,A,5.69,chembl20,34481,9606,ADRA1B,93,C=1(NCCN1)COC2=C(C3=NC=CC=C3)C=CC=C2
DLWKVBPPVYZEML-JFWZFMRYNA-N,52943739,147,A,7.40001,pubchem,516906,9606,ADRA1B,93,N1C([C@]23[C@](C2)(C=4C(C3)=CC=CC4)C)=CN=C1
DLWKVBPPVYZEML-POWUQGEANA-N,CHEMBL1255771,147,A,7.4,chembl20,664774,9606,ADRA1B,93,C=1C=C2C(=CC1)C[C@@]3(C4=CNC=N4)[C@@]2(C3)C
DFNUNBHMMOZMON-UHFFFAOYNA-N,CHEMBL138109,147,A,6.57,chembl20,34339,9606,ADRA1B,93,C12=C(C(CCCNCCOC=3N=CC=CC3)=CC=C1)C=CC=C2OC
DZZIAERGLDKTBT-UHFFFAOYNA-N,49783415,147,A,5.37387,pubchem,517069,9606,ADRA1B,93,O(CC1CCN(CC1)CCCC)C(=O)C=2C=C(OC)C(N)=CC2
DYMJBPXGEBYMBA-HKZSAXFUNA-N,CHEMBL2261346,24173,A,6.5,chembl20,911062,10116,ADRA1B,93,OS(=O)(=NC1=C2C(=CC=C1O)C(CCC2)C=3NCCN3)C
FIERHAFMRVRMDV-ODBPLSRJNA-N,49781228,147,A,8.97881,pubchem,516906,9606,ADRA1B,93,N1C([C@]23[C@H](C2)C=4C(C3)=CC=CC4)=CN=C1
FIERHAFMRVRMDV-PVBWTSSXNA-N,CHEMBL1256414,147,A,8.98,chembl20,664774,9606,ADRA1B,93,C1=CC=C2C([C@@H]3[C@@](C4=CNC=N4)(C3)C2)=C1
ATKNWVZEWKNQHH-WYUMXYHSNA-N,CHEMBL326837,147,N,4.52,chembl20,32514,9606,ADRA1B,93,C(C=1C(OCC=2N=CNC2)=CC=CC1)(N(CC)CC)=O
CLNZVXVRSYFAJS-PEXXNLCRNA-N,CHEMBL111734,24173,N,4.82,chembl20,911053,10116,ADRA1B,93,S(=NC=1C(=C(CC=2NC=NC2)C=CC1)C)(O)(O)=CC
CBHCDHNUZWWAPP-UHFFFAOYNA-N,CHEMBL395110,24173,A,7.47,chembl20,774697,10116,ADRA1B,93,N1(C2=C(SC3=C1C=CC=C3)C=CC=C2)CC4CN(C)CCC4
XKGPHJMKJBEURD-UHFFFAOYNA-N,CHEMBL3104093,147,A,5.65,chembl20,1283839,9606,ADRA1B,93,C12=C(CCN3C=4C1=CC=CC4C5=C3CCN(C5)C)C=CC=C2
HGRHWEAUHXYNNP-UHFFFAOYNA-N,CHEMBL2391541,147,A,5,chembl20,964972,9606,ADRA1B,93,C=1(C=CC2=C(C1)C(=CN2)CCN(CC=C)CC=C)OC
IJAUTLCFHWJTKE-GPQMBLKYNA-N,CHEMBL344294,147,A,5.61,chembl20,34481,9606,ADRA1B,93,C=1(C2=C(OCC=3NCCN3)C=CC=C2)N=CC=C(C1)C
GYSZUJHYXCZAKI-UHFFFAOYNA-N,5685,147,A,8.00436,pubchem,37335,9606,ADRA1B,93,O1C(CNCCOC2=C(OC)C=CC=C2OC)COC=3C1=CC=CC3
GYSZUJHYXCZAKI-UHFFFAOYNA-N,CHEMBL25554,24173,A,8.21,chembl20,412949,10116,ADRA1B,93,C1=CC=C2OCC(OC2=C1)CNCCOC3=C(C=CC=C3OC)OC
JFEAROLAZKGICP-LUXCBXFANA-N,CHEMBL325745,147,A,5.52,chembl20,32514,9606,ADRA1B,93,C=1(C(=O)NCCC)C(NCC=2N=CNC2)=CC=CC1
JVQZWPGHLBOWKN-CQSZACIVNA-N,CHEMBL468711,147,A,6.12,chembl20,500046,9606,ADRA1B,93,N1=C2C[C@H](CN2C=C1)C3=C(C=CC=C3)C=4C=NC=CC4
JRWZLRBJNMZMFE-UHFFFAOYNA-N,CHEMBL926,24173,A,6.73,chembl20,774697,10116,ADRA1B,93,C1(=C(C=CC(=C1)CCNC(CCC=2C=CC(=CC2)O)C)O)O
JJCFRYNCJDLXIK-UHFFFAOYNA-N,CHEMBL516,24173,A,7.36,chembl20,774697,10116,ADRA1B,93,C1(C2=C(C=CC=3C1=CC=CC3)C=CC=C2)=C4CCN(CC4)C
IDFYKSAHFFJUAO-VOCMTRERNA-N,9879119,24173,N,,pubchem,1093145,10116,ADRA1B,93,S(O)(O)(=NC1=C2CCC(C2=CC=C1)C=3NC=NC3)=CC
MRBDMNSDAVCSSF-GPQMBLKYNA-N,5775,147,A,7.32422,pubchem,254394,9606,ADRA1B,93,OC1=CC(N(CC2=NCCN2)C3=CC=C(C=C3)C)=CC=C1
KVWDHTXUZHCGIO-UHFFFAOYNA-N,CHEMBL715,147,A,6,chembl20,1329323,9606,ADRA1B,93,C12=C(NC3=CC=CC=C3N=C1N4CCN(CC4)C)SC(=C2)C
KVWDHTXUZHCGIO-UHFFFAOYNA-N,CHEMBL715,24173,A,7.68,chembl20,774697,10116,ADRA1B,93,C12=C(NC3=CC=CC=C3N=C1N4CCN(CC4)C)SC(=C2)C
KRMDCWKBEZIMAB-UHFFFAOYNA-N,CHEMBL629,24173,A,7.38,chembl20,774697,10116,ADRA1B,93,C1(C2=C(CCC=3C1=CC=CC3)C=CC=C2)=CCCN(C)C
NZGIGUXZZCUKJN-UHFFFAOYNA-N,CHEMBL418882,147,A,5.73,chembl20,34331,9606,ADRA1B,93,N1(C2=C(OC)C=CC=C2)CCN(CC1)CC=3SC(C=O)=CC3
NSRMKMSTPLJNHM-UHFFFAOYNA-N,49864841,147,A,8.50031,pubchem,501933,9606,ADRA1B,93,N1(CCNCC1)C=2C=3N(CC=4C(C2)=CC=CC4)C=CN3
OATZTRPAOPUZBS-UHFFFAOYNA-N,CHEMBL294235,147,A,7.27,chembl20,34190,9606,ADRA1B,93,N1(C(=O)CCCC1=O)CCN2CCN(CC2)C3=CC(Cl)=CC=C3Cl
ONSCHPQYHGOIQX-FQFUPTBWNA-N,9883506,147,A,6.07417,pubchem,254394,9606,ADRA1B,93,OC1=CC(N(NC=2NCCN2)C3=CC=C(C=C3)C)=CC=C1
OGAKLTJNUQRZJU-UHFFFAOYNA-N,CHEMBL936,24173,A,5.58,chembl20,774697,10116,ADRA1B,93,C(C1=CC=CC=C1)(C=2C=CC=CC2)(O)CCCN3CCCCC3
MXXLYFCCXHQAGU-UHFFFAOYNA-N,45263452,24173,A,8.11351,pubchem,269273,10116,ADRA1B,93,O1C=C(C2CCN(CC2)CCCN3CCCCC3)C=4C1=CC=CC4
HETKYUVAGHVYTA-UHFFFAOYNA-N,CHEMBL344432,147,A,7.58,chembl20,34339,9606,ADRA1B,93,C12=C(C(CCCNCCOC=3N=CC=CC3)CCC1)C=CC=C2OC
PWWVAXIEGOYWEE-UHFFFAOYNA-N,CHEMBL643,24173,A,7.68,chembl20,774697,10116,ADRA1B,93,N1(C2=C(C=CC=C2)SC=3C1=CC=CC3)CC(N(C)C)C
PSBBAGWMKGXQRW-UHFFFAOYNA-N,CHEMBL2205836,147,A,5.46,chembl20,884055,9606,ADRA1B,93,C12C3C4C5C1C6C(C4C(C62)(N3CCC7=CC=CC=C7OC)O)C5
QWGDMFLQWFTERH-UHFFFAOYNA-N,CHEMBL1113,24173,A,7.22,chembl20,774697,10116,ADRA1B,93,C1=CC=C2C(N=C(C=3C(=CC=C(C3)Cl)O2)N4CCNCC4)=C1
QUECJEIOYDUIOW-UHFFFAOYNA-N,CHEMBL557584,24173,A,8.96,chembl20,384613,10116,ADRA1B,93,C1(CCN(CC1)CCCCN2CCCCC2)C3=CNC4=C3C=CC=C4
QZUDBNBUXVUHMW-UHFFFAOYNA-N,CHEMBL42,147,A,8,chembl20,1329323,9606,ADRA1B,93,N1=C(C=2C(=CC=CC2)NC=3C1=CC(=CC3)Cl)N4CCN(CC4)C
QZUDBNBUXVUHMW-UHFFFAOYNA-N,CHEMBL42,24173,A,8.44,chembl20,774697,10116,ADRA1B,93,N1=C(C=2C(=CC=CC2)NC=3C1=CC(=CC3)Cl)N4CCN(CC4)C
RFWZESUMWJKKRN-UHFFFAOYNA-N,CHEMBL1201216,24173,A,7.52,chembl20,774697,10116,ADRA1B,93,N12C(=NN=C1CCCC2)CCN3CCN(CC3)C4=C(C)C=CC=C4
RQBRUGMHSQYCNU-UHFFFAOYNA-N,CHEMBL3104092,147,A,5,chembl20,1283839,9606,ADRA1B,93,C1C2=C(CN3C=4C1=CC=CC4C5=C3CCN(C5)C)C=CC=C2
RKVMBHNDKVMNKU-WYUMXYHSNA-N,CHEMBL143562,147,A,6.11,chembl20,34481,9606,ADRA1B,93,C1(C2=C(OCC=3NCCN3)C=CC=C2)=C(C=CO1)C
SAPBLMHILRUAOB-UHFFFAOYNA-N,45263451,24173,A,7.85387,pubchem,269273,10116,ADRA1B,93,O1N=C(C2CCN(CC2)CCCN3CCCCC3)C4=C1C=CC=C4
RQXPJRXQQKFJSK-WYUMXYHSNA-N,CHEMBL117914,147,N,4.52,chembl20,32514,9606,ADRA1B,93,C(C=1C(OCC=2NCCN2)=CC=CC1)(N(CC)CC)=O
VFOKHHLQWNICHU-YSFRZULJNA-N,44449245,147,A,6.22185,pubchem,331625,9606,ADRA1B,93,N1=C(NC=C1)C2CCC=3C2=CC=CC3C=4NN=CC4
SXPWQXVCFMMCEE-JLGFQASFNA-N,CHEMBL109848,24173,N,4.84,chembl20,911062,10116,ADRA1B,93,C=12C(=C(NC(=O)C)C=CC1)CCCC2C=3NC=NC3
SOYKEARSMXGVTM-HNNXBMFYNA-N,CHEMBL1201353,24173,A,5.06,chembl20,774697,10116,ADRA1B,93,ClC1=CC=C([C@@H](C2=NC=CC=C2)CCN(C)C)C=C1
UIRILMHEDUNQNH-UHFFFAOYNA-N,45265779,24173,A,9.20066,pubchem,269273,10116,ADRA1B,93,FC1=CC=2NC=C(C3CCN(CC3)CCCN4CCCCC4)C2C=C1
WIBHTRHXSDQYQK-GPQMBLKYNA-N,CHEMBL320419,147,A,5.71,chembl20,34483,9606,ADRA1B,93,C=1(C(=O)NCCCC)C(N=CC2NCCN2)=CC=CC1
WLHFUBIRAHRPHA-UHFFFAOYNA-N,49783419,147,A,5.04211,pubchem,517069,9606,ADRA1B,93,FC=1C=C(C(OCC2CCN(CC2)CCCC)=O)C=3OCCOC3C1N
WYWIFABBXFUGLM-HCKMINDGNA-N,CHEMBL762,24173,A,6.16,chembl20,774697,10116,ADRA1B,93,C=1(C(=C(C(CC=2NCCN2)=C(C1)C)C)O)C(C)(C)C
WWXCWTRLUXMAHX-UHFFFAOYNA-N,CHEMBL2205823,147,A,6.27,chembl20,884055,9606,ADRA1B,93,C12C3C4C5C1C6C(C4C(C62)(N3CC7=CC=CC=C7OC)O)C5
YVENIGOVHPMTDH-UHFFFAOYNA-N,CHEMBL3217984,147,A,6,chembl20,1329323,9606,ADRA1B,93,S1C2=C3C(=CC=C2)C4C(N3C5=C(C1)C=CC=C5)CCN(C4)C
ZPEIMTDSQAKGNT-UHFFFAOYNA-N,CHEMBL71,24173,A,8.3,chembl20,774697,10116,ADRA1B,93,N1(C=2C(=CC=C(C2)Cl)SC3=C1C=CC=C3)CCCN(C)C
YXIMVQGGMXAHCM-UHFFFAOYNA-N,CHEMBL294646,147,A,7.06,chembl20,34190,9606,ADRA1B,93,N1(C(=CC=C1O)O)CCN2CCN(CC2)C=3C=C(Cl)C=CC3Cl
ZGPYATHAPJTRBU-DNYHJGITNA-N,CHEMBL326702,24173,A,6.16,chembl20,911062,10116,ADRA1B,93,C1=C(C=C(CC=2NC=NC2)C=C1)N=S(=CC)(O)O
ZGUGWUXLJSTTMA-UHFFFAOYNA-N,CHEMBL564,24173,A,8.34,chembl20,774697,10116,ADRA1B,93,N1(C2=C(C=CC=C2)SC=3C1=CC=CC3)CCCN(C)C
ASHFKBMVCDTQQO-PSWOWSARNA-N,CHEMBL1256565,147,A,7.4,chembl20,664774,9606,ADRA1B,93,C=1C=C2C(=CC1)[C@H](OCC)[C@]3([C@@H]2C3)C4=CNC=N4
ADSQCTGZHJXUFN-UHFFFAOYNA-N,CHEMBL1255085,147,A,7,chembl20,663468,9606,ADRA1B,93,C=1C=CC=CC1COC=2C(OCCNCCOC=3C(=CC=CC3O)O)=CC=CC2
BLZNLOLTHDUEOL-SDRQFZCRNA-N,CHEMBL2203713,147,A,5.74,chembl20,882990,9606,ADRA1B,93,C=1(C=CC2=C(C1)CCN2C3CCNCC3)N=C(C4=CC=CS4)N
AKBJKOBHDJQWMB-BJIPZMMANA-N,CHEMBL1256610,147,A,7.39,chembl20,664774,9606,ADRA1B,93,C=1C=C2C(=CC1)[C@@H]([C@@]3(C4=CNC=N4)[C@@H]2C3)CC
AKBJKOBHDJQWMB-SOJRBKARNA-N,49781223,147,A,7.38998,pubchem,516906,9606,ADRA1B,93,N1C([C@]23[C@H](C2)C=4C([C@@H]3CC)=CC=CC4)=CN=C1
APGVLGHKSNVCCA-FMKOGKGQNA-N,9818490,24173,N,,pubchem,1093145,10116,ADRA1B,93,S(O)(O)(=NC1=C2C(C(CCC2)C=3NC=NC3)=CC=C1)=CCC
FYLKUCQQWYKEOG-GHSXVQBENA-N,49781887,147,A,7.01002,pubchem,516906,9606,ADRA1B,93,N1C([C@]23C4(CC4)C=5C([C@H]2C3)=CC=CC5)=CN=C1
FYLKUCQQWYKEOG-HSHHRQPONA-N,CHEMBL1255617,147,A,7.83,chembl20,664774,9606,ADRA1B,93,C1CC12C3=CC=CC=C3[C@@H]4[C@@]2(C5=CNC=N5)C4
FZGWDCDUMFWUEO-UHFFFAOYNA-N,42636941,147,A,6.84001,pubchem,416559,9606,ADRA1B,93,S1C=2N=C(OCC3CCN(CC3)CCC)C=4N(C2C(=C1)C)C=CC4
GDLIGKIOYRNHDA-UHFFFAOYNA-N,CHEMBL415,24173,A,7.14,chembl20,774697,10116,ADRA1B,93,N1(C=2C=C(Cl)C=CC2CCC3=C1C=CC=C3)CCCN(C)C
FRIXRRJXNBEHHG-UHFFFAOYNA-N,45263435,24173,A,8.82391,pubchem,269273,10116,ADRA1B,93,N1(CCC(CC1)C=2C=3C(NC2)=CC=CC3)CCCCCN4CCCCC4
HSSBMQXDKGERBI-BWMSDFQBNA-N,CHEMBL1256503,147,A,7.2,chembl20,664774,9606,ADRA1B,93,C=1C=C2C(=CC1)[C@H](OC)[C@@]3(C4=CNC=N4)[C@@H]2C3
HSSBMQXDKGERBI-CFEZOGSZNA-N,CHEMBL1256502,147,A,6.04,chembl20,664774,9606,ADRA1B,93,C=1C=C2C(=CC1)[C@@H](OC)[C@@]3(C4=CNC=N4)[C@@H]2C3
ARHWJJBPLJIHQP-IDXJNDIONA-N,52944548,147,A,7.77989,pubchem,516906,9606,ADRA1B,93,N1C([C@]23[C@H]([C@@H]2CC)C=4C(C3)=CC=CC4)=CN=C1
ARHWJJBPLJIHQP-MUPPYLQSNA-N,CHEMBL1255723,147,A,7.78,chembl20,664774,9606,ADRA1B,93,C=1C=C2C(=CC1)C[C@@]3(C4=CNC=N4)[C@@H]2[C@@H]3CC
BYHQOSOPNSLUAD-UHFFFAOYNA-N,CHEMBL299454,147,A,7.44,chembl20,34190,9606,ADRA1B,93,C1(N(CCN2CCN(CC2)C=3C(Cl)=CC=CC3)CCC4(C1)CCCC4)=O
GVEDWYJBOAYFLH-UHFFFAOYNA-N,45263434,24173,A,7.22185,pubchem,269273,10116,ADRA1B,93,N1(CCC(CC1)C=2C=3C(N(C2)C)=CC=CC3)CCCN4CCCCC4
GYSZUJHYXCZAKI-AWEZNQCLNA-N,49797184,147,A,8.24033,pubchem,766573,9606,ADRA1B,93,O1[C@@H](CNCCOC2=C(OC)C=CC=C2OC)COC=3C1=CC=CC3
GYSZUJHYXCZAKI-AWEZNQCLNA-N,49797184,24173,A,9.17005,pubchem,693304,10116,ADRA1B,93,O1[C@@H](CNCCOC2=C(OC)C=CC=C2OC)COC=3C1=CC=CC3
