Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL101579,P35368,,QYNFZZOONQJAIB-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,10021947,KI,=,53,NM,,cell_based,,,,,,,,,,,LM,Displacement of [125I]HEAT from human Alpha-1B adrenergic receptor expressed in LM cells,,"4-Oxospiro[benzopyran-2,4'-piperidines] as selective alpha 1a-adrenergic receptor antagonists.",Bioorg. Med. Chem. Lett.,1999,9,2,"Nerenberg JB, Erb JM, Bergman JM, O'Malley S, Chang RS, Scott AL, Broten TP, Bock MG",,34325,DTCT0023207,480882,DTCC00267579,193763,3405
CHEMBL101610,P35368,,KVIRFFFBTUTUIZ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,10021947,KI,=,24,NM,,cell_based,,,,,,,,,,,LM,Displacement of [125I]HEAT from human Alpha-1B adrenergic receptor expressed in LM cells,,"4-Oxospiro[benzopyran-2,4'-piperidines] as selective alpha 1a-adrenergic receptor antagonists.",Bioorg. Med. Chem. Lett.,1999,9,2,"Nerenberg JB, Erb JM, Bergman JM, O'Malley S, Chang RS, Scott AL, Broten TP, Bock MG",,34325,DTCT0023207,347970,DTCC00267547,324169,3405
CHEMBL101739,P35368,,MRGNBQGTIXPNTD-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,10021947,KI,=,55,NM,,cell_based,,,,,,,,,,,LM,Displacement of [125I]HEAT from human Alpha-1B adrenergic receptor expressed in LM cells,,"4-Oxospiro[benzopyran-2,4'-piperidines] as selective alpha 1a-adrenergic receptor antagonists.",Bioorg. Med. Chem. Lett.,1999,9,2,"Nerenberg JB, Erb JM, Bergman JM, O'Malley S, Chang RS, Scott AL, Broten TP, Bock MG",,34325,DTCT0023207,479654,DTCC00267665,129262,3405
CHEMBL101869,P35368,,CIBARXUQAXSAER-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,10021947,KI,=,48,NM,,cell_based,,,,,,,,,,,LM,Displacement of [125I]HEAT from human Alpha-1B adrenergic receptor expressed in LM cells,,"4-Oxospiro[benzopyran-2,4'-piperidines] as selective alpha 1a-adrenergic receptor antagonists.",Bioorg. Med. Chem. Lett.,1999,9,2,"Nerenberg JB, Erb JM, Bergman JM, O'Malley S, Chang RS, Scott AL, Broten TP, Bock MG",,34325,DTCT0023207,504942,DTCC00267815,2065829,3405
CHEMBL10347,P35368,RAUWOLSCINE,BLGXFZZNTVWLAY-DIRVCLHFSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,7562902,KI,=,2270,NM,,cell_based,,,,,,,,,,,CHO,Inhibition of [3H]prazosin binding to human Alpha-1B adrenergic receptor expressed in CHO cells,,Alpha- and beta-adrenoceptors: from the gene to the clinic. 2. Structure-activity relationships and therapeutic applications.,J. Med. Chem.,1995,38,19,"Ruffolo RR, Bondinell W, Hieble JP",,34343,DTCT0023207,932956,DTCC00137602,1144937,13230
CHEMBL10347,P35368,RAUWOLSCINE,BLGXFZZNTVWLAY-DIRVCLHFSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,7658428,KI,=,0.6,NM,,,,,,,,,,,,,,Binding affinity against Alpha-1B adrenergic receptor from hamster clones.,,Alpha- and beta-adrenoceptors: from the gene to the clinic. 1. Molecular biology and adrenoceptor subclassification.,J. Med. Chem.,1995,38,18,"Hieble JP, Bondinell WE, Ruffolo RR",,34313,DTCT0023207,754818,DTCC00137602,1144809,13167
CHEMBL10347,P35368,RAUWOLSCINE,BLGXFZZNTVWLAY-DIRVCLHFSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,7658428,KI,=,4.6,NM,,,,,,,,,,,,,,"The compound was tested for binding affinity against Alpha-1B adrenergic receptor, from human clones.",,Alpha- and beta-adrenoceptors: from the gene to the clinic. 1. Molecular biology and adrenoceptor subclassification.,J. Med. Chem.,1995,38,18,"Hieble JP, Bondinell WE, Ruffolo RR",,34464,DTCT0023207,754817,DTCC00137602,1144809,13167
CHEMBL104700,P35368,,SCDKHPSUXHBJDJ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,22607684,KI,,,,,,,,,,,,,,,,,Inhibition of alpha1B adrenergic receptor,Not Determined,7-Azabicyclo[2.2.1]heptane as a scaffold for the development of selective sigma-2 (s(2)) receptor ligands.,Bioorg. Med. Chem. Lett.,2012,22,12,"Banister SD, Rendina LM, Kassiou M",,820270,DTCT0023207,10478100,DTCC00272114,931177,48255
CHEMBL1077168,P35368,,WNJWFQHRCYRXOC-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,58.88,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228652,DTCC00630971,1621931,38187
CHEMBL1078750,P35368,,FBYVWPPEENYVFP-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,>,1000,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228662,DTCC00631883,845820,38187
CHEMBL1078751,P35368,,YMKDCAYLGKAORC-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,>,1000,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228661,DTCC00631884,457195,38187
CHEMBL1078772,P35368,,QTXPSJZUMKDMGD-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,>,1000,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228660,DTCC00631885,1298111,38187
CHEMBL1078773,P35368,,RBDSAWBTGMXGTK-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,19.95,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228659,DTCC00631886,586998,38187
CHEMBL1078953,P35368,,CLADBLWFXVASRD-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,53.7,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228658,DTCC00631963,457197,38187
CHEMBL1078954,P35368,,IWORSPYCCXFFAN-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,446.68,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228657,DTCC00631964,586999,38187
CHEMBL1079,P35368,TIZANIDINE,XFYDIVBRZNQMJC-UHFFFAOYSA-N,4,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,-1,EC50,=,322,NM,,cell_based,binding,,,,,,,,,,,,,,,,,,,,,DTCT0023207,15029410,DTCC00247641,2114304,70044
CHEMBL1079065,P35368,,NTHBZKNEJJJYGF-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,138.04,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228656,DTCC00631965,426195,38187
CHEMBL1079066,P35368,,JFRSZDORAGVQRA-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,173.78,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228655,DTCC00631966,974491,38187
CHEMBL1079079,P35368,,WGIPGQAPFNVWIX-XXFZXMJFSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,19767206,INHIBITION,<,50,%,,,,,,,,,,,,,,Displacement of [3H]Prazosin from alpha-1B adrenergic receptor at 10 uM by scintillation counting,,Synthesis and in vitro autoradiographic evaluation of a novel high-affinity radioiodinated ligand for imaging brain cannabinoid subtype-1 receptors.,Bioorg. Med. Chem. Lett.,2009,19,21,"Donohue SR, Varnäs K, Jia Z, Gulyás B, Pike VW, Halldin C",,619800,DTCT0023207,3267832,DTCC00632772,857661,37697
CHEMBL1082862,P35368,,ODHPQKBPZNUARX-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,46.77,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228649,DTCC00631044,974480,38187
CHEMBL1083181,P35368,,NNVMIQMBTAAZFU-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,63.1,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228648,DTCC00631045,1907262,38187
CHEMBL1083182,P35368,,PEVLAFDVQRAQGN-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,100,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228663,DTCC00631046,133307,38187
CHEMBL1084132,P35368,,HVBAGGJDXDXSAY-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20153647,KI,=,251.19,NM,,,,,,,,,,,,,,Activity at Alpha-1B adrenergic receptor,,"The identification of a selective dopamine D2 partial agonist, D3 antagonist displaying high levels of brain exposure.",Bioorg. Med. Chem. Lett.,2010,20,6,"Holmes IP, Blunt RJ, Lorthioir OE, Blowers SM, Gribble A, Payne AH, Stansfield IG, Wood M, Woollard PM, Reavill C, Howes CM, Micheli F, Di Fabio R, Donati D, Terreni S, Hamprecht D, Arista L, Worby A, Watson SP",,614258,DTCT0023207,3224936,DTCC00631001,663318,36246
CHEMBL1084658,P35368,,GTSXERKGHGFELV-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,239.88,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228650,DTCC00631043,1006942,38187
CHEMBL1085672,P35368,,HVSRNYNPOUFDNJ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20153647,KI,=,316.23,NM,,,,,,,,,,,,,,Activity at Alpha-1B adrenergic receptor,,"The identification of a selective dopamine D2 partial agonist, D3 antagonist displaying high levels of brain exposure.",Bioorg. Med. Chem. Lett.,2010,20,6,"Holmes IP, Blunt RJ, Lorthioir OE, Blowers SM, Gribble A, Payne AH, Stansfield IG, Wood M, Woollard PM, Reavill C, Howes CM, Micheli F, Di Fabio R, Donati D, Terreni S, Hamprecht D, Arista L, Worby A, Watson SP",,614258,DTCT0023207,3224935,DTCC00630996,177069,36246
CHEMBL1086156,P35368,,FGBDGNKVRNLYDB-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,117.49,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228664,DTCC00630866,522723,38187
CHEMBL1087942,P35368,,XRTCZMPGERZCKE-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,75.86,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228654,DTCC00630969,1557031,38187
CHEMBL1088071,P35368,,OUDJOYYEESPOHX-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,PKI,,,,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,Not Determined,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228653,DTCC00630970,716203,38187
CHEMBL1088072,P35368,,YKCXYNCLHSMBJV-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20185311,KI,=,41.69,NM,,cell_based,,,,,,,,,,,CHO,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,,Discovery of a new series of 5-HT1A receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,6,"Franchini S, Prandi A, Sorbi C, Tait A, Baraldi A, Angeli P, Buccioni M, Cilia A, Poggesi E, Fossa P, Brasili L",,615773,DTCT0023207,3228651,DTCC00630972,845805,38187
CHEMBL1094208,P35368,"1-(2,3-DICHLOROPHENYL)-2,2,2-TRIFLUORO-1-(1-(4-FLUOROPHENYL)-1H-INDAZOL-5-YL)ETHANOL (ENANTIOMERIC MIX)",SGKVPHOMCZNDPT-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20427184,INHIBITION,<,50,%,,,,,,,,,,,,,,Inhibition of adrenergic Alpha-1B receptor at 1 uM,,5-Functionalized indazoles as glucocorticoid receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,10,"Bai M, Carr G, Deorazio RJ, Friedrich TD, Dobritsa S, Fitzpatrick K, Guzzo PR, Kitchen DB, Lynch MA, Peace D, Sajad M, Usyatinsky A, Wolf MA",,631276,DTCT0023207,3337663,DTCC00642251,1232809,38666
CHEMBL1094209,P35368,,HOMRLSWXGFQYGM-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20427184,INHIBITION,<,50,%,,,,,,,,,,,,,,Inhibition of adrenergic Alpha-1B receptor at 1 uM,,5-Functionalized indazoles as glucocorticoid receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,10,"Bai M, Carr G, Deorazio RJ, Friedrich TD, Dobritsa S, Fitzpatrick K, Guzzo PR, Kitchen DB, Lynch MA, Peace D, Sajad M, Usyatinsky A, Wolf MA",,631276,DTCT0023207,3337659,DTCC00642252,1746259,38666
CHEMBL1094231,P35368,"1-(3-CHLORO-4-FLUOROPHENYL)-2,2,2-TRIFLUORO-1-(1-(4-FLUOROPHENYL)-1H-INDAZOL-5-YL)ETHANOL (ENANTIOMERIC MIX)",DAXGWLCLIPNRDH-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,20427184,INHIBITION,<,50,%,,,,,,,,,,,,,,Inhibition of adrenergic Alpha-1B receptor at 1 uM,,5-Functionalized indazoles as glucocorticoid receptor agonists.,Bioorg. Med. Chem. Lett.,2010,20,10,"Bai M, Carr G, Deorazio RJ, Friedrich TD, Dobritsa S, Fitzpatrick K, Guzzo PR, Kitchen DB, Lynch MA, Peace D, Sajad M, Usyatinsky A, Wolf MA",,631276,DTCT0023207,3337660,DTCC00642205,133424,38666
